"","APMC","Commodity","Type"
"1","Akole","bajri","Multiplicative"
"2","Jamkhed","bajri","Multiplicative"
"3","Kopargaon","bajri","Multiplicative"
"4","Newasa","bajri","Multiplicative"
"5","Pathardi","bajri","Multiplicative"
"6","Rahata","bajri","Multiplicative"
"7","Rahuri","bajri","Multiplicative"
"8","Rahuri-Vambori","bajri","Multiplicative"
"9","Sangamner","bajri","Multiplicative"
"10","Shevgaon","bajri","Multiplicative"
"11","Shevgaon-Bodhegaon","bajri","Multiplicative"
"12","Shrirampur","bajri","Multiplicative"
"13","Ahmednagar","bajri","Multiplicative"
"14","Achalpur","bajri","Multiplicative"
"15","Aurangabad","bajri","Multiplicative"
"16","Gangapur","bajri","Multiplicative"
"17","Kannad","bajri","Multiplicative"
"18","Paithan","bajri","Multiplicative"
"19","Vaijapur","bajri","Multiplicative"
"20","Lasur Station","bajri","Multiplicative"
"21","Sillod","bajri","Multiplicative"
"22","Sillod-Bharadi","bajri","Multiplicative"
"23","Ambejogai","bajri","Multiplicative"
"24","Beed","bajri","Multiplicative"
"25","Gevrai","bajri","Multiplicative"
"26","Kada","bajri","Multiplicative"
"27","Kej","bajri","Multiplicative"
"28","Majalgaon","bajri","Multiplicative"
"29","Parli-Vaijnath","bajri","Multiplicative"
"30","Kille Dharur","bajri","Multiplicative"
"31","Kada (Ashti)","bajri","Multiplicative"
"32","Khamgaon","bajri","Multiplicative"
"33","Malkapur","bajri","Multiplicative"
"34","Nandura","bajri","Multiplicative"
"35","Shegaon","bajri","Multiplicative"
"36","Dhule","bajri","Multiplicative"
"37","Dondaicha","bajri","Multiplicative"
"38","Sakri","bajri","Multiplicative"
"39","Shirpur","bajri","Multiplicative"
"40","Bhusaval","bajri","Multiplicative"
"41","Chalisgaon","bajri","Multiplicative"
"42","Chopda","bajri","Multiplicative"
"43","Jalgaon","bajri","Multiplicative"
"44","Raver","bajri","Multiplicative"
"45","Amalner","bajri","Multiplicative"
"46","Ambad(Vadi Godri)","bajri","Multiplicative"
"47","Jalna","bajri","Multiplicative"
"48","Jalna-Badnapur","bajri","Multiplicative"
"49","Mantha","bajri","Multiplicative"
"50","Partur","bajri","Multiplicative"
"51","Ghansawangi","bajri","Multiplicative"
"52","Kolhapur-Laxmipuri","bajri","Multiplicative"
"53","Latur","bajri","Multiplicative"
"54","Ausa","bajri","Multiplicative"
"55","Ahmedpur","bajri","Multiplicative"
"56","Mumbai","bajri","Multiplicative"
"57","Bhokar","bajri","Multiplicative"
"58","Nandurbar","bajri","Multiplicative"
"59","Shahada","bajri","Multiplicative"
"60","Taloda","bajri","Multiplicative"
"61","Devala","bajri","Multiplicative"
"62","Kalvan","bajri","Multiplicative"
"63","Lasalgaon","bajri","Multiplicative"
"64","Malegaon","bajri","Multiplicative"
"65","Manmad","bajri","Multiplicative"
"66","Nandgaon","bajri","Multiplicative"
"67","Satana","bajri","Multiplicative"
"68","Sinner","bajri","Multiplicative"
"69","Yeola","bajri","Multiplicative"
"70","Kalamb (Os)","bajri","Multiplicative"
"71","Murum","bajri","Multiplicative"
"72","Umarga","bajri","Multiplicative"
"73","Tuljapur","bajri","Multiplicative"
"74","Sailu","bajri","Multiplicative"
"75","Jintur","bajri","Multiplicative"
"76","Jintur-Bori","bajri","Multiplicative"
"77","Sonpeth","bajri","Multiplicative"
"78","Baramati","bajri","Multiplicative"
"79","Dound","bajri","Multiplicative"
"80","Indapur-Bhigwan","bajri","Multiplicative"
"81","Shirur","bajri","Multiplicative"
"82","Indapur","bajri","Multiplicative"
"83","Sangali","bajri","Multiplicative"
"84","Atpadi","bajri","Multiplicative"
"85","Lonand","bajri","Multiplicative"
"86","Phaltan","bajri","Multiplicative"
"87","Vaduj","bajri","Multiplicative"
"88","Akkolkot","bajri","Multiplicative"
"89","Akluj","bajri","Multiplicative"
"90","Barshi","bajri","Multiplicative"
"91","Dudhani","bajri","Multiplicative"
"92","Kurdwadi","bajri","Multiplicative"
"93","Mangalwedha","bajri","Multiplicative"
"94","Pandharpur","bajri","Multiplicative"
"95","Solapur","bajri","Multiplicative"
"96","Karmala","bajri","Multiplicative"
"97","Vasai","bajri","Multiplicative"
"98","Karanja","bajri","Multiplicative"
"99","Pusad","bajri","Multiplicative"
"100","Mumbai","coconut","Multiplicative"
"101","Jamkhed","cotton","Multiplicative"
"102","Newasa","cotton","Multiplicative"
"103","Pathardi","cotton","Multiplicative"
"104","Shevgaon","cotton","Multiplicative"
"105","Shrigonda","cotton","Multiplicative"
"106","Shrigonda-Ghogargaon","cotton","Multiplicative"
"107","Telhara","cotton","Multiplicative"
"108","Anajngaon Surji","cotton","Multiplicative"
"109","Chandur Rly.","cotton","Multiplicative"
"110","Daryapur","cotton","Multiplicative"
"111","Dhamangaon-Rly","cotton","Multiplicative"
"112","Varud","cotton","Multiplicative"
"113","Aurangabad","cotton","Multiplicative"
"114","Gangapur","cotton","Multiplicative"
"115","Vaijapur","cotton","Multiplicative"
"116","Lasur Station","cotton","Multiplicative"
"117","Paithan","cotton","Multiplicative"
"118","Sillod","cotton","Multiplicative"
"119","Gevrai","cotton","Multiplicative"
"120","Kille Dharur","cotton","Multiplicative"
"121","Majalgaon","cotton","Multiplicative"
"122","Parli-Vaijnath","cotton","Multiplicative"
"123","Deulgaon Raja","cotton","Multiplicative"
"124","Jalgaon Jamod","cotton","Multiplicative"
"125","Khamgaon","cotton","Multiplicative"
"126","Nandura","cotton","Multiplicative"
"127","Malkapur","cotton","Multiplicative"
"128","Chimur","cotton","Multiplicative"
"129","Korpana","cotton","Multiplicative"
"130","Rajura","cotton","Multiplicative"
"131","Chandrapur","cotton","Multiplicative"
"132","Varora","cotton","Multiplicative"
"133","Dondaicha","cotton","Multiplicative"
"134","Aheri","cotton","Multiplicative"
"135","Akhadabalapur","cotton","Multiplicative"
"136","Basmat","cotton","Multiplicative"
"137","Jawala-Bajar","cotton","Multiplicative"
"138","Kalamnuri","cotton","Multiplicative"
"139","Jalgaon","cotton","Multiplicative"
"140","Jamner","cotton","Multiplicative"
"141","Jamner-Neri","cotton","Multiplicative"
"142","Bhusaval","cotton","Multiplicative"
"143","Yawal","cotton","Multiplicative"
"144","Bhokardan","cotton","Multiplicative"
"145","Ghansawangi","cotton","Multiplicative"
"146","Jafrabad","cotton","Multiplicative"
"147","Jalna","cotton","Multiplicative"
"148","Jalna-Badnapur","cotton","Multiplicative"
"149","Mantha","cotton","Multiplicative"
"150","Partur","cotton","Multiplicative"
"151","Ambad(Vadi Godri)","cotton","Multiplicative"
"152","Bhiwapur","cotton","Multiplicative"
"153","Kalmeshwar","cotton","Multiplicative"
"154","Katol","cotton","Multiplicative"
"155","Parshiwani","cotton","Multiplicative"
"156","Savner","cotton","Multiplicative"
"157","Umared","cotton","Multiplicative"
"158","Bhokar","cotton","Multiplicative"
"159","Hadgaon","cotton","Multiplicative"
"160","Kinwat","cotton","Multiplicative"
"161","Mahur","cotton","Multiplicative"
"162","Naigaon","cotton","Multiplicative"
"163","Nanded","cotton","Multiplicative"
"164","Nandurbar","cotton","Multiplicative"
"165","Navapur","cotton","Multiplicative"
"166","Shahada","cotton","Multiplicative"
"167","Taloda","cotton","Multiplicative"
"168","Yeola","cotton","Multiplicative"
"169","Paranda","cotton","Multiplicative"
"170","Jintur","cotton","Multiplicative"
"171","Parbhani","cotton","Multiplicative"
"172","Purna","cotton","Multiplicative"
"173","Sailu","cotton","Multiplicative"
"174","Sonpeth","cotton","Multiplicative"
"175","Gangakhed","cotton","Multiplicative"
"176","Arvi","cotton","Multiplicative"
"177","Pulgaon","cotton","Multiplicative"
"178","Samudrapur","cotton","Multiplicative"
"179","Sindi","cotton","Multiplicative"
"180","Sindi (Selu)","cotton","Multiplicative"
"181","Wardha","cotton","Multiplicative"
"182","Karanja","cotton","Multiplicative"
"183","Darwha","cotton","Multiplicative"
"184","Digras","cotton","Multiplicative"
"185","Ghatanji","cotton","Multiplicative"
"186","Kalamb (Yawatmal)","cotton","Multiplicative"
"187","Mahagaon","cotton","Multiplicative"
"188","Pandharkawada","cotton","Multiplicative"
"189","Ralegaon","cotton","Multiplicative"
"190","Umarkhed","cotton","Multiplicative"
"191","Vani","cotton","Multiplicative"
"192","Yeotmal","cotton","Multiplicative"
"193","Zarijamini","cotton","Multiplicative"
"194","Maregaon","cotton","Multiplicative"
"195","Kolhapur-Laxmipuri","grnut kernels","Multiplicative"
"196","Mumbai","grnut kernels","Multiplicative"
"197","Pune","grnut kernels","Multiplicative"
"198","Kopargaon","maize","Multiplicative"
"199","Newasa","maize","Multiplicative"
"200","Rahata","maize","Multiplicative"
"201","Rahuri","maize","Multiplicative"
"202","Rahuri-Vambori","maize","Multiplicative"
"203","Sangamner","maize","Multiplicative"
"204","Shevgaon-Bodhegaon","maize","Multiplicative"
"205","Shrirampur","maize","Multiplicative"
"206","Ahmednagar","maize","Multiplicative"
"207","Akole","maize","Multiplicative"
"208","Shevgaon","maize","Multiplicative"
"209","Achalpur","maize","Multiplicative"
"210","Amarawati","maize","Multiplicative"
"211","Varud-Rajura Bazar","maize","Multiplicative"
"212","Aurangabad","maize","Multiplicative"
"213","Fulambri","maize","Multiplicative"
"214","Gangapur","maize","Multiplicative"
"215","Kannad","maize","Multiplicative"
"216","Khultabad","maize","Multiplicative"
"217","Vaijapur","maize","Multiplicative"
"218","Lasur Station","maize","Multiplicative"
"219","Sillod","maize","Multiplicative"
"220","Sillod-Bharadi","maize","Multiplicative"
"221","Ambejogai","maize","Multiplicative"
"222","Beed","maize","Multiplicative"
"223","Gevrai","maize","Multiplicative"
"224","Kada","maize","Multiplicative"
"225","Parli-Vaijnath","maize","Multiplicative"
"226","Kada (Ashti)","maize","Multiplicative"
"227","Kej","maize","Multiplicative"
"228","Kille Dharur","maize","Multiplicative"
"229","Chikhali","maize","Multiplicative"
"230","Jalgaon Jamod","maize","Multiplicative"
"231","Jalgaon Jamod-Aasalgaon","maize","Multiplicative"
"232","Khamgaon","maize","Multiplicative"
"233","Lonar","maize","Multiplicative"
"234","Malkapur","maize","Multiplicative"
"235","Mehkar","maize","Multiplicative"
"236","Nandura","maize","Multiplicative"
"237","Sangrampur","maize","Multiplicative"
"238","Shegaon","maize","Multiplicative"
"239","Dhule","maize","Multiplicative"
"240","Dondaicha","maize","Multiplicative"
"241","Sakri","maize","Multiplicative"
"242","Shirpur","maize","Multiplicative"
"243","Aheri","maize","Multiplicative"
"244","Bhusaval","maize","Multiplicative"
"245","Chalisgaon","maize","Multiplicative"
"246","Chopda","maize","Multiplicative"
"247","Jalgaon","maize","Multiplicative"
"248","Raver","maize","Multiplicative"
"249","Amalner","maize","Multiplicative"
"250","Yawal","maize","Multiplicative"
"251","Ambad(Vadi Godri)","maize","Multiplicative"
"252","Bhokardan","maize","Multiplicative"
"253","Bhokardan-Pimpalgaon Renu","maize","Multiplicative"
"254","Jafrabad","maize","Multiplicative"
"255","Jalna","maize","Multiplicative"
"256","Jalna-Badnapur","maize","Multiplicative"
"257","Kolhapur-Laxmipuri","maize","Multiplicative"
"258","Ausa","maize","Multiplicative"
"259","Latur","maize","Multiplicative"
"260","Ahmedpur","maize","Multiplicative"
"261","Savner","maize","Multiplicative"
"262","Nandurbar","maize","Multiplicative"
"263","Navapur","maize","Multiplicative"
"264","Shahada","maize","Multiplicative"
"265","Taloda","maize","Multiplicative"
"266","Devala","maize","Multiplicative"
"267","Kalvan","maize","Multiplicative"
"268","Lasalgaon","maize","Multiplicative"
"269","Malegaon","maize","Multiplicative"
"270","Manmad","maize","Multiplicative"
"271","Nandgaon","maize","Multiplicative"
"272","Satana","maize","Multiplicative"
"273","Sinner","maize","Multiplicative"
"274","Yeola","maize","Multiplicative"
"275","Kalamb (Os)","maize","Multiplicative"
"276","Umarga","maize","Multiplicative"
"277","Murum","maize","Multiplicative"
"278","Tuljapur","maize","Multiplicative"
"279","Baramati","maize","Multiplicative"
"280","Dound","maize","Multiplicative"
"281","Indapur","maize","Multiplicative"
"282","Indapur-Bhigwan","maize","Multiplicative"
"283","Pune","maize","Multiplicative"
"284","Shirur","maize","Multiplicative"
"285","Shirala","maize","Multiplicative"
"286","Tasgaon","maize","Multiplicative"
"287","Sangali","maize","Multiplicative"
"288","Lonand","maize","Multiplicative"
"289","Phaltan","maize","Multiplicative"
"290","Vaduj","maize","Multiplicative"
"291","Akluj","maize","Multiplicative"
"292","Barshi","maize","Multiplicative"
"293","Barshi-Vairag","maize","Multiplicative"
"294","Dudhani","maize","Multiplicative"
"295","Kurdwadi","maize","Multiplicative"
"296","Mangalwedha","maize","Multiplicative"
"297","Mohol","maize","Multiplicative"
"298","Pandharpur","maize","Multiplicative"
"299","Karmala","maize","Multiplicative"
"300","Akkolkot","maize","Multiplicative"
"301","Solapur","maize","Multiplicative"
"302","Washim","maize","Multiplicative"
"303","Pusad","maize","Multiplicative"
"304","Vaijapur","mustard","Multiplicative"
"305","Shegaon","mustard","Multiplicative"
"306","Jalna","mustard","Multiplicative"
"307","Mantha","mustard","Multiplicative"
"308","Ausa","mustard","Multiplicative"
"309","Umared","mustard","Multiplicative"
"310","Jintur","mustard","Multiplicative"
"311","Sonpeth","mustard","Multiplicative"
"312","Barshi","mustard","Multiplicative"
"313","Washim","mustard","Multiplicative"
"314","Ausa","nigerseed","Multiplicative"
"315","Ahmedpur","nigerseed","Multiplicative"
"316","Umarga","nigerseed","Multiplicative"
"317","Akole","paddyunhusked","Multiplicative"
"318","Pavani","paddyunhusked","Multiplicative"
"319","Tumsar","paddyunhusked","Multiplicative"
"320","Lakhandur","paddyunhusked","Multiplicative"
"321","Lakhani","paddyunhusked","Multiplicative"
"322","Brahmpuri","paddyunhusked","Multiplicative"
"323","Chimur","paddyunhusked","Multiplicative"
"324","Gondpimpri","paddyunhusked","Multiplicative"
"325","Mul","paddyunhusked","Multiplicative"
"326","Nagbhid","paddyunhusked","Multiplicative"
"327","Savali","paddyunhusked","Multiplicative"
"328","Sindevahi","paddyunhusked","Multiplicative"
"329","Aheri","paddyunhusked","Multiplicative"
"330","Armori","paddyunhusked","Multiplicative"
"331","Armori-Desaiganj","paddyunhusked","Multiplicative"
"332","Chamorshi","paddyunhusked","Multiplicative"
"333","Gadchiroli","paddyunhusked","Multiplicative"
"334","Aamgaon","paddyunhusked","Multiplicative"
"335","Arjuni Morgaon","paddyunhusked","Multiplicative"
"336","Gondiya","paddyunhusked","Multiplicative"
"337","Goregaon","paddyunhusked","Multiplicative"
"338","Tiroda","paddyunhusked","Multiplicative"
"339","Kolhapur-Laxmipuri","paddyunhusked","Multiplicative"
"340","Ausa","paddyunhusked","Multiplicative"
"341","Ahmedpur","paddyunhusked","Multiplicative"
"342","Bhiwapur","paddyunhusked","Multiplicative"
"343","Mandhal","paddyunhusked","Multiplicative"
"344","Nagpur","paddyunhusked","Multiplicative"
"345","Ramtek","paddyunhusked","Multiplicative"
"346","Navapur","paddyunhusked","Multiplicative"
"347","Ghoti","paddyunhusked","Multiplicative"
"348","Umarga","paddyunhusked","Multiplicative"
"349","Tuljapur","paddyunhusked","Multiplicative"
"350","Karjat (Raigad)","paddyunhusked","Multiplicative"
"351","Pen","paddyunhusked","Multiplicative"
